row,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,ECA251,NA,NIC256,NA,JU830,NA,ECA36,NA,JU1088,NA,NIC252
B,NA,JU1172,NA,NIC199,NA,NIC260,NA,NIC3,NA,JU440,NA,ECA189
C,NA,NIC277,NA,JU346,NA,JU1934,NA,JU1409,NA,NIC1,NA,ED3052
D,NA,ED3040,NA,JU1792,NA,DL226,NA,ED3049,NA,QX1794,NA,JU2016
E,NA,MY1,NA,PB303,NA,JU2519,NA,JU2466,NA,JU1666,NA,CX11271
F,NA,JU774,NA,NIC274,NA,JU1581,NA,BRC20263,NA,JU323,NA,ED3048
G,NA,NIC2,NA,CX11285,NA,JU1440,NA,JU360,NA,DL200,NA,JU1242
H,NA,JU311,NA,NIC275,NA,NIC261,NA,BRC20067,NA,KR314,NA,JU2007
