row,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,JU1568,NA,JU2478,NA,NIC259,NA,JU3132,NA,JU2250,NA,JU2534
B,NA,ECA246,NA,JU1652,NA,NIC513,NA,MY2147,NA,JU258,NA,LSJ1
C,NA,LKC34,NA,NIC501,NA,ED3017,NA,JU775,NA,DL238,NA,JU2853
D,NA,NIC511,NA,ECA348,NA,MY23,NA,CB4856,NA,MY16,NA,JU2841
E,NA,NIC1049,NA,JU2838,NA,JU2257,NA,JU3144,NA,JU2907,NA,MY518
F,NA,MY2713,NA,JU2811,NA,JU2522,NA,QG2075,NA,ECA259,NA,JU1213
G,NA,JU3128,NA,CX11314,NA,MY2585,NA,JU367,NA,N2,NA,MY795
H,NA,MY772,NA,EG4725,NA,CX11276,NA,JT11398,NA,NIC515,NA,WN2050
