row,1,2,3,4,5,6,7,8,9,10,11,12
A,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole
B,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole
C,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole
D,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole
E,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole
F,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole
G,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole,Albendazole
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
