row,1,2,3,4,5,6,7,8,9,10,11,12
A,N2,JU2141,NIC515,WN2002,NIC1107,JU360,JU3125,MY518,JU1808,JU2581,JU830,JU751
B,N2,JU2141,NIC515,WN2002,NIC1107,JU360,JU3125,MY518,JU1808,JU2581,JU830,JU751
C,N2,JU2141,NIC515,WN2002,NIC1107,JU360,JU3125,MY518,JU1808,JU2581,JU830,JU751
D,N2,JU2141,NIC515,WN2002,NIC1107,JU360,JU3125,MY518,JU1808,JU2581,JU830,JU751
E,N2,JU2141,NIC515,WN2002,NIC1107,JU360,JU3125,MY518,JU1808,JU2581,JU830,JU751
F,N2,JU2141,NIC515,WN2002,NIC1107,JU360,JU3125,MY518,JU1808,JU2581,JU830,JU751
G,N2,JU2141,NIC515,WN2002,NIC1107,JU360,JU3125,MY518,JU1808,JU2581,JU830,JU751
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
